Rk,Team,Tm,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
1,Utah Jazz,UTA,W,NW,52,20,0.722,9.25,118.42,108.94,9.48,8.96,118.23,109.04,9.2
2,Los Angeles Clippers,LAC,W,P,47,25,0.653,6.18,118.39,112.13,6.26,6.02,118.34,112.23,6.11
3,Phoenix Suns,PHO,W,P,51,21,0.708,5.82,118.01,112.14,5.87,5.67,117.96,112.22,5.74
4,Milwaukee Bucks,MIL,E,C,46,26,0.639,5.89,117.68,112.03,5.65,5.57,117.67,112.34,5.33
5,Philadelphia 76ers,PHI,E,A,49,23,0.681,5.58,114.13,108.51,5.62,5.28,113.96,108.66,5.3
6,Denver Nuggets,DEN,W,NW,47,25,0.653,4.93,118.04,113.01,5.03,4.82,118.02,113.1,4.92
7,Brooklyn Nets,BRK,E,A,48,24,0.667,4.5,118.91,114.4,4.52,4.24,119,114.76,4.24
8,Los Angeles Lakers,LAL,W,P,42,30,0.583,2.79,110.52,107.84,2.68,2.76,110.28,107.6,2.67
9,Dallas Mavericks,DAL,W,SW,42,30,0.583,2.26,116.16,113.79,2.37,2.26,116.18,113.8,2.38
10,New York Knicks,NYK,E,A,41,31,0.569,2.31,111.38,108.97,2.41,2.13,111.23,109.01,2.21
11,Atlanta Hawks,ATL,E,SE,41,31,0.569,2.32,116.28,113.89,2.38,2.14,116.33,114.14,2.19
12,Portland Trail Blazers,POR,W,NW,42,30,0.583,1.79,118.28,116.58,1.7,1.8,118.42,116.68,1.73
13,Boston Celtics,BOS,E,A,36,36,0.5,1.46,114.66,113.29,1.37,1.32,114.69,113.47,1.22
14,Golden State Warriors,GSW,W,P,39,33,0.542,1.06,111.74,110.65,1.09,1.1,111.61,110.47,1.14
15,Memphis Grizzlies,MEM,W,SW,38,34,0.528,1.03,112.77,111.77,1,1.07,112.69,111.63,1.06
16,Miami Heat,MIA,E,SE,40,32,0.556,0.03,112.12,111.98,0.13,-0.06,112.09,112.06,0.03
17,Indiana Pacers,IND,E,C,34,38,0.472,-0.04,112.98,112.96,0.02,-0.12,112.99,113.07,-0.08
18,New Orleans Pelicans,NOP,W,SW,31,41,0.431,-0.29,114.47,114.78,-0.32,-0.2,114.52,114.73,-0.21
19,Toronto Raptors,TOR,E,A,27,45,0.375,-0.47,112.96,113.44,-0.48,-0.54,113,113.55,-0.56
20,Chicago Bulls,CHI,E,C,31,41,0.431,-0.89,111.9,112.81,-0.91,-0.94,111.9,112.87,-0.97
21,San Antonio Spurs,SAS,W,SW,33,39,0.458,-1.74,111.61,113.35,-1.74,-1.58,111.59,113.17,-1.57
22,Washington Wizards,WAS,E,SE,34,38,0.472,-1.83,111.75,113.63,-1.88,-1.84,111.79,113.69,-1.91
23,Charlotte Hornets,CHO,E,SE,33,39,0.458,-1.93,111.62,113.69,-2.07,-1.94,111.66,113.75,-2.08
24,Sacramento Kings,SAC,W,P,31,41,0.431,-3.68,114.4,118,-3.6,-3.45,114.59,117.94,-3.36
25,Detroit Pistons,DET,E,C,20,52,0.278,-4.47,108.9,113.53,-4.63,-4.38,108.93,113.48,-4.55
26,Minnesota Timberwolves,MIN,W,NW,23,49,0.319,-5.56,110.18,115.55,-5.36,-5.25,110.26,115.31,-5.05
27,Houston Rockets,HOU,W,SW,17,55,0.236,-7.9,107.85,115.69,-7.84,-7.5,107.93,115.35,-7.42
28,Cleveland Cavaliers,CLE,E,C,22,50,0.306,-8.44,106.85,115.65,-8.8,-8.19,106.96,115.51,-8.55
29,Orlando Magic,ORL,E,SE,21,51,0.292,-9.31,105.74,115.22,-9.48,-9.02,105.83,115.03,-9.2
30,Oklahoma City Thunder,OKC,W,NW,22,50,0.306,-10.64,104.32,114.8,-10.48,-10.13,104.36,114.32,-9.96
